article_title,date,event
"[2022베이징] 여제 시프린, 이번 베이징 개인전은 '빈털털이'",2022-02-17,ALP
"[올림픽] 시프린, 알파인 복합도 실격…개인전 '노메달' 확정",2022-02-17,ALP
"[베이징올림픽]'스키여제' 시프린, 알파인 복합도 실격..개인전 '노메달'",2022-02-17,ALP
"-올림픽- 시프린, 알파인 복합도 실격…개인전 '노메달' 확정(종합)",2022-02-17,ALP
노메달로 돌아가는 스키여제…시프린 ‘악몽의 올림픽’,2022-02-17,ALP
"또 넘어진 '스키 여제' 시프린, 초라한 개인전 '빈손'",2022-02-17,ALP
"시프린, 알파인 복합도 실격…개인전 '노메달'[베이징2022]",2022-02-17,ALP
"시프린, 베이징 노메달 확정…알파인 복합도 실격",2022-02-17,ALP
빈 손 위기 몰린 '스키 여제' 시프린[베이징올림픽],2022-02-17,ALP
"자존심 구긴 시프린, 개인전 노메달 확정…19일 팀 이벤트만 남겨[베이징올림픽]",2022-02-17,ALP
"'알파인 간판' 시프린, 개인전 '노메달' 확정",2022-02-17,ALP
"-올림픽- 시프린, 알파인 복합도 실격…개인전 '노메달' 확정",2022-02-17,ALP
[베이징 스타] 4번째 도전 만에…21위 정동현에게 박수를,2022-02-17,ALP
'28년 전과 같은 21위?' 세계와 격차 3.6초로 줄인 정동현[베이징올림픽],2022-02-17,ALP
"비인기 설움·실격 아픔 딛고… 정동현, 한국 타이기록",2022-02-17,ALP
"다들 쇼트트랙만 볼 때, 묵묵히 눈 위를 달렸다",2022-02-17,ALP
고성 출신 정동현 스키 회전 ‘21위' 한국 역대 최고 성적 타이,2022-02-17,ALP
[올림픽] 두 번째 메달 노린 스노보더의 기권…'프라다 로고' 때문?,2022-02-17,SBD
"클로이 킴 아시안 인종차별 피해 호소...백악관 ""적극 대응""",2022-02-17,SBD
‘프라다’ 가리라하자… 경기 포기한 우승후보,2022-02-17,SBD
클로이 김 '아시아 혐오 중지' 요청에 백악관 답했다,2022-02-17,SBD
"""루지 알리려 '엔딩요정' 자처""…박진용·조정명 선수 인터뷰",2022-02-17,LUG
[나이트라인 초대석] 부상 투혼 후 '기적'처럼…루지 국가대표 임남규 선수,2022-02-17,LUG
"스키 탄 총잡이, 다관왕을 향해 쏴라",2022-02-17,BTH
"[영상] ‘평창 설욕’ 캐나다 여자 아이스하키, 미국 꺾고 금메달",2022-02-17,IHO
"‘4년만의 설욕’ 캐나다, 女 아이스하키 결승서 미국 꺾고 금메달",2022-02-17,IHO
"[올림픽] '평창 설욕' 캐나다 여자 아이스하키, 미국 꺾고 금메달 탈환",2022-02-17,IHO
‘아이스하키 종주국’ 자존심 살려낸 캐나다 여걸들,2022-02-17,IHO
NHL 선수들 빠진 美·加 ‘허수아비 신세’,2022-02-17,IHO
"[올림픽] '캡틴 클러치' 캐나다 폴린, 역대 첫 4개 대회 결승전 연속골",2022-02-17,IHO
"아이스하키에 진심인 캐나다, 男 부진 만회한 女 금메달",2022-02-17,IHO
"캐나다, 미국 꺾고 女 아이스하키 우승…평창 패배 설욕[베이징올림픽]",2022-02-17,IHO
"[베이징올림픽]캐나다 여자 아이스하키, '영원한 앙숙' 미국 꺾고 금메달",2022-02-17,IHO
"울다 웃은 캐나다 아이스하키...男 대표팀 노메달 수모, 女 대표팀 금메달",2022-02-17,IHO
하키 하면 ‘단풍국’이지…캐나다 여자팀 7번 중 5번 우승[베이징올림픽],2022-02-17,IHO
[하이라이트] '또 만났다!' 여자 아이스하키 결승전…캐나다 vs 미국,2022-02-17,IHO
"[2022베이징] '4년만의 설욕' 캐나다, 8년만에 女 아이스하키 우승",2022-02-17,IHO
"[올림픽] 캐나다 여자 아이스하키, 미국 꺾고 금메달 탈환",2022-02-17,IHO
"캐나다 여자 아이스하키, '영원한 라이벌' 미국 꺾고 금메달 탈환",2022-02-17,IHO
"-올림픽- '평창 설욕' 캐나다 여자 아이스하키, 미국 꺾고 금메달 탈환",2022-02-17,IHO
"[올림픽] NHL 선수 불참한 미국·캐나다, 동반 8강 탈락…남자 아이스하키 이변 속출",2022-02-17,IHO
"""42살에도 올림픽에 있다면? 좋은 징조는 아니겠죠""",2022-02-17,IHO
아이스하키 캐나다마저 8강 탈락 이변…앞서 미국 패배,2022-02-17,IHO
"[올림픽] 캐나다, 아이스하키 8강서 스웨덴에 패배…16년 만에 노메달",2022-02-17,IHO
[베이징 올림픽]미국 이어 캐나다도 8강 탈락..아이스하키 대이변,2022-02-17,IHO
슬로바키아 男 아이스하키 美 꺾어,2022-02-17,IHO
"미국과 캐나다, 男 아이스하키 8강서 탈락 ‘대이변’[베이징올림픽]",2022-02-17,IHO
"미국 · 캐나다, 동반 8강 탈락…남자 아이스하키 이변 속출",2022-02-17,IHO
"-올림픽- 미국·캐나다, 동반 8강 탈락…남자 아이스하키 이변 속출(종합)",2022-02-17,IHO
"[영상] 최민정 ""가장 값진 메달""…황대헌 ""판정에 말 아껴야""",2022-02-17,BOB
"쿨 러닝… 24년 만의 출전, 영화 이상의 감동",2022-02-17,BOB
"[베이징올림픽]봅슬레이 4인승, 4년 전 '평창의 기적' 펼쳐질까",2022-02-17,BOB
"봅슬레이, 2인승 성적은 아쉽지만 '새 역사' 남겼다",2022-02-17,BOB
"‘또 한번 쿨러닝’ 자메이카 봅슬레이, 썰매의 기적은 계속된다",2022-02-17,BOB
4년 전 평창처럼…'감 잡은' 원윤종 팀 봅슬레이 깜짝 메달 도전,2022-02-17,BOB
악재와 싸워온 한국썰매… 유종의 미 거둔다,2022-02-17,BOB
"[올림픽] 값진 19위 원윤종팀, 봅슬레이 4인승서 '유종의 미' 노린다",2022-02-17,BOB
"6인승 봅슬레이? 독일, 男 2인승 메달 싹쓸이",2022-02-17,BOB
봅슬레이 원윤종·석영진 '썰매 노메달' 걱정 날릴까,2022-02-17,BOB
'유영·김예림 나란히 톱10' 한국 피겨 올림픽 새 역사 썼다... 발리예바는 '노메달',2022-02-17,CCS
"[베이징 NOW] 빅토르 안, 한국 돌아온다…이달 말 중국과 계약 만료",2022-02-17,NCB
"[베이징 NOW] 팀 킴 탈락에 행운 잡은 일본, 스위스 꺾고 결승행",2022-02-18,CUR
"[2022베이징] '이번엔 美가 4등' 캐나다, 남자 컬링 동메달 획득",2022-02-18,CUR
"[베이징 NOW]'고마워요 스웨덴' 日, 팀 킴 이긴 스웨덴에 감사 열풍",2022-02-18,CUR
"‘울지 마, 팀 킴’…컬링을 ‘국민스포츠’로 만들겠다는 컬링연맹의 각오",2022-02-18,CUR
스웨덴 벽 못 넘은 ‘팀 킴’의 아쉬움,2022-02-18,CUR
"[올림픽] 김용빈 대한컬링연맹 회장 ""끝까지 최선 다해준 팀킴에 감사""",2022-02-18,CUR
